GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lms,services.dao,TransactionDaoService,149,105,4,0,39,30,4,4,2,4
lms,services.dao,BookDaoService,40,238,1,3,10,65,1,7,0,6
lms,services.dao,UserDaoService,37,175,0,4,11,53,1,8,1,6
lms,src.views,BooksController,50,0,0,0,11,0,3,0,3,0
lms,services,User,24,60,0,0,10,26,7,13,7,13
lms,services,Book,21,82,0,0,9,34,6,16,6,16
lms,services,Transaction,34,39,0,0,17,14,9,7,9,7
lms,services.utils,DBUtil,28,5,4,0,9,1,4,1,2,1
lms,views,LMSApplication,39,0,0,0,13,0,3,0,3,0
lms,views,AddUserController,100,0,8,0,23,0,7,0,3,0
lms,views,MainController,9,0,0,0,3,0,2,0,2,0
lms,views,TransactionsController,57,0,0,0,12,0,3,0,3,0
lms,views,AddTransactionController,3,0,0,0,1,0,1,0,1,0
lms,views,UsersController,50,0,0,0,11,0,3,0,3,0
lms,views,DashboardController,271,0,0,0,59,0,10,0,10,0
lms,views,Main,50,0,0,0,14,0,3,0,3,0
lms,views,AddBookController,121,3,12,0,25,1,8,1,2,1
lms,views,LoginController,86,0,6,0,24,0,6,0,3,0
